frame,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20
52,0.5373645424842834,0.7639002799987793,-8.919000649143527e-09,0.4493267238140106,0.7244580984115601,-0.049996912479400635,0.4195125997066498,0.6700646281242371,-0.07159826904535294,0.43056225776672363,0.6225100755691528,-0.09045520424842834,0.4226623773574829,0.5839601755142212,-0.10695056617259979,0.5218052268028259,0.6206948161125183,-0.022609151899814606,0.5442072153091431,0.5717908143997192,-0.055617447942495346,0.5628854632377625,0.5432156920433044,-0.08766716718673706,0.5840787291526794,0.5163715481758118,-0.11334041506052017,0.5889186263084412,0.6244991421699524,-0.023111486807465553,0.6227083802223206,0.5675757527351379,-0.0507417768239975,0.6417331695556641,0.5329510569572449,-0.07593286037445068,0.6631876230239868,0.5006778836250305,-0.09635815024375916,0.6434577703475952,0.6396033763885498,-0.032187167555093765,0.686398983001709,0.5867952108383179,-0.060208991169929504,0.708702564239502,0.558152437210083,-0.07466137409210205,0.7291361093521118,0.5309047698974609,-0.08538657426834106,0.691695511341095,0.6652782559394836,-0.04755161702632904,0.729370653629303,0.629043459892273,-0.06886867433786392,0.750551164150238,0.6073684096336365,-0.07541684806346893,0.7702335715293884,0.5867130160331726,-0.08073432743549347
53,0.5386845469474792,0.7403968572616577,1.5742779169158894e-07,0.43791595101356506,0.7000953555107117,-0.0507199764251709,0.39676564931869507,0.6436598300933838,-0.06991128623485565,0.3988310396671295,0.5923609733581543,-0.08635643869638443,0.3819565176963806,0.5520362854003906,-0.10043518990278244,0.4942590594291687,0.5896666646003723,-0.015172755345702171,0.5097196102142334,0.5375124216079712,-0.04716417193412781,0.5245802402496338,0.504655122756958,-0.07965108007192612,0.5416839718818665,0.4746707081794739,-0.10552997142076492,0.5638561844825745,0.590637743473053,-0.015100923366844654,0.5872035622596741,0.5311795473098755,-0.04188216105103493,0.6016793847084045,0.49318835139274597,-0.06903141736984253,0.6181144714355469,0.4585018754005432,-0.09061001241207123,0.6216372847557068,0.6030974388122559,-0.0241774320602417,0.6532502770423889,0.5479816198348999,-0.05154949426651001,0.671088457107544,0.5162971019744873,-0.06774330139160156,0.6873286962509155,0.4864281415939331,-0.07966204732656479,0.6744871735572815,0.6258595585823059,-0.039764661341905594,0.7045198678970337,0.5862829685211182,-0.061764899641275406,0.7202744483947754,0.5617358088493347,-0.06924270838499069,0.7343813180923462,0.5382378697395325,-0.07468686252832413
54,0.5176289677619934,0.7119760513305664,2.1578820508239005e-07,0.41626882553100586,0.6725639700889587,-0.04801907762885094,0.3723953366279602,0.6173524856567383,-0.06662468612194061,0.36867398023605347,0.5669015049934387,-0.08264559507369995,0.34286391735076904,0.5278949737548828,-0.09691178798675537,0.4622313678264618,0.5629857182502747,-0.018222780898213387,0.4741876721382141,0.5076050162315369,-0.04812491685152054,0.48575639724731445,0.47320252656936646,-0.0774252787232399,0.5001677870750427,0.44275006651878357,-0.10086643695831299,0.5324373841285706,0.5620102882385254,-0.018579402938485146,0.5509004592895508,0.49964919686317444,-0.04461734741926193,0.5616084337234497,0.4595031440258026,-0.07124192267656326,0.5734164714813232,0.42359524965286255,-0.0921236202120781,0.5924309492111206,0.5728309154510498,-0.027147896587848663,0.6198396682739258,0.5160201787948608,-0.05318177118897438,0.6328475475311279,0.48114335536956787,-0.07315405458211899,0.6421270370483398,0.449199914932251,-0.08780968934297562,0.6478776335716248,0.5939275622367859,-0.04150939732789993,0.6742857694625854,0.5518249273300171,-0.06311752647161484,0.6852109432220459,0.5249108076095581,-0.07335943728685379,0.6932222843170166,0.49966639280319214,-0.08079483360052109
55,0.5070700645446777,0.6894335150718689,2.748738552327268e-07,0.40000298619270325,0.6518616080284119,-0.04312712326645851,0.34774428606033325,0.5973274111747742,-0.05993514135479927,0.3363368511199951,0.548026978969574,-0.07498381286859512,0.3063640296459198,0.5110123157501221,-0.08830645680427551,0.4361135959625244,0.5415214896202087,-0.014059235341846943,0.4402572512626648,0.48495548963546753,-0.04248260334134102,0.4483121633529663,0.450875461101532,-0.07093793898820877,0.4592328369617462,0.4205452501773834,-0.0933152511715889,0.5050327777862549,0.5392822623252869,-0.01651570200920105,0.5178382992744446,0.47682520747184753,-0.04058125615119934,0.524661123752594,0.4368323087692261,-0.06710601598024368,0.5313382148742676,0.40124961733818054,-0.08742450177669525,0.5656354427337646,0.5491151213645935,-0.026716357097029686,0.5857043862342834,0.49060654640197754,-0.05127623304724693,0.5939520597457886,0.4546554982662201,-0.07279404997825623,0.5975186824798584,0.4234012961387634,-0.0879860445857048,0.6238195896148682,0.5690414309501648,-0.04213407263159752,0.6489536762237549,0.5256434679031372,-0.06285381317138672,0.6576376557350159,0.49676045775413513,-0.07418682426214218,0.6618555188179016,0.4704081416130066,-0.08191341906785965
56,0.5080698132514954,0.6896295547485352,2.778039913664543e-07,0.4006050229072571,0.6520788669586182,-0.043902426958084106,0.34787389636039734,0.5975525975227356,-0.06094042956829071,0.3362184762954712,0.5481156706809998,-0.07609552145004272,0.30647414922714233,0.5109002590179443,-0.08943475782871246,0.43629544973373413,0.5416117906570435,-0.01413558516651392,0.44019079208374023,0.48511800169944763,-0.042634714394807816,0.448242723941803,0.45104679465293884,-0.07119408249855042,0.4592369496822357,0.420724093914032,-0.09367971122264862,0.5051947236061096,0.5392171144485474,-0.016281582415103912,0.5176374912261963,0.4768008589744568,-0.04048290476202965,0.524444043636322,0.4367702901363373,-0.06709080934524536,0.5311547517776489,0.4011510908603668,-0.08746689558029175,0.5656156539916992,0.5489104986190796,-0.026307951658964157,0.5856204628944397,0.4904775023460388,-0.0510970763862133,0.5938680768013,0.4545957148075104,-0.07273416966199875,0.5974709987640381,0.4233364164829254,-0.08797720074653625,0.6237959265708923,0.5687608122825623,-0.04162713512778282,0.6489728093147278,0.5254008769989014,-0.06254734843969345,0.6577271223068237,0.4966093599796295,-0.07402615994215012,0.6619531512260437,0.47031980752944946,-0.08185272663831711
57,0.5078709125518799,0.6894245147705078,2.8015219299959426e-07,0.4004111886024475,0.6519153714179993,-0.043407853692770004,0.3478139638900757,0.597393810749054,-0.06008870527148247,0.33631452918052673,0.5479816794395447,-0.07493622601032257,0.3063663840293884,0.5109268426895142,-0.08798645436763763,0.4361240267753601,0.5415663123130798,-0.013653608970344067,0.4402405321598053,0.4849860966205597,-0.04175829887390137,0.44839224219322205,0.45093661546707153,-0.07002519816160202,0.4595000445842743,0.4206385612487793,-0.09230787307024002,0.5050406455993652,0.5391928553581238,-0.01585235446691513,0.5175941586494446,0.4767388105392456,-0.03963237255811691,0.5244948863983154,0.43673384189605713,-0.0660221129655838,0.5313597321510315,0.4011516273021698,-0.08627910166978836,0.5655332803726196,0.5489121675491333,-0.025864984840154648,0.5855294466018677,0.49048635363578796,-0.05029328167438507,0.5938644409179688,0.4546142816543579,-0.07187335193157196,0.597536027431488,0.42339402437210083,-0.0871272161602974,0.6237276792526245,0.5687418580055237,-0.04112636670470238,0.6490345001220703,0.5254614353179932,-0.06181027740240097,0.6577666401863098,0.4966614842414856,-0.07325933873653412,0.6619678735733032,0.47035810351371765,-0.0810941830277443
58,0.4849885404109955,0.6490268707275391,2.5715550577842805e-07,0.3650049567222595,0.6195726990699768,-0.047075655311346054,0.2983575761318207,0.5690671801567078,-0.06535758823156357,0.27496564388275146,0.5199975371360779,-0.08095011115074158,0.23645836114883423,0.48480746150016785,-0.09460778534412384,0.3842318058013916,0.5065575242042542,-0.014632818289101124,0.369624525308609,0.450483500957489,-0.03981456160545349,0.3664305508136749,0.4170578718185425,-0.0670616403222084,0.36726438999176025,0.3866037130355835,-0.09011732786893845,0.45303428173065186,0.5001505613327026,-0.015309058129787445,0.4478667378425598,0.43901801109313965,-0.03678597882390022,0.44514960050582886,0.3993874192237854,-0.06313347816467285,0.4417838454246521,0.3644222021102905,-0.08471978455781937,0.5147714614868164,0.5073395371437073,-0.02437254600226879,0.5179800391197205,0.4493001401424408,-0.04921773821115494,0.516444742679596,0.41232895851135254,-0.07441028207540512,0.5114134550094604,0.3803582787513733,-0.0933932512998581,0.5761684775352478,0.5251806378364563,-0.03883263096213341,0.5920566320419312,0.4824402332305908,-0.06271445751190186,0.5951932072639465,0.4530532658100128,-0.07949411123991013,0.5945459604263306,0.42568960785865784,-0.09209392219781876
59,0.47830143570899963,0.6448327302932739,1.695040907634393e-07,0.35705047845840454,0.6142364144325256,-0.04362459108233452,0.2913861572742462,0.5626863241195679,-0.0599483959376812,0.26724427938461304,0.5134772062301636,-0.074721559882164,0.22623112797737122,0.47863471508026123,-0.08793647587299347,0.37645620107650757,0.4995602071285248,-0.00998362060636282,0.3601740300655365,0.44377797842025757,-0.03455188870429993,0.3568793535232544,0.4108603894710541,-0.06185264512896538,0.3586602807044983,0.380418598651886,-0.08523765951395035,0.44452616572380066,0.4927009046077728,-0.012565932236611843,0.43575263023376465,0.4309171438217163,-0.03379422426223755,0.43271586298942566,0.39123180508613586,-0.059688813984394073,0.4299648404121399,0.35651886463165283,-0.08130114525556564,0.5055578947067261,0.4999074935913086,-0.023531198501586914,0.5067152380943298,0.44163256883621216,-0.048149485141038895,0.5043566823005676,0.4047800898551941,-0.07245522737503052,0.4986504018306732,0.37327855825424194,-0.0909026563167572,0.5672051310539246,0.517859697341919,-0.03982734680175781,0.5822816491127014,0.47410666942596436,-0.06280601769685745,0.585813045501709,0.44454702734947205,-0.07866102457046509,0.5864257216453552,0.4174096882343292,-0.09088428318500519
60,0.47318506240844727,0.6396557092666626,2.038824362671221e-07,0.35288840532302856,0.6082051992416382,-0.043617699295282364,0.2862548828125,0.5570493340492249,-0.05896420776844025,0.25859320163726807,0.5082244873046875,-0.07276219874620438,0.21821436285972595,0.4738001227378845,-0.08451253175735474,0.36939531564712524,0.4930914044380188,-0.0054482086561620235,0.35389357805252075,0.43771302700042725,-0.028606193140149117,0.351082980632782,0.4050270915031433,-0.0553310327231884,0.3530125021934509,0.3749413788318634,-0.07809819281101227,0.43757766485214233,0.48607102036476135,-0.007043708581477404,0.4290444850921631,0.42496591806411743,-0.026510639116168022,0.42612436413764954,0.385811448097229,-0.051347266882658005,0.4230372905731201,0.35166114568710327,-0.07206423580646515,0.4987058937549591,0.49299779534339905,-0.017397891730070114,0.4986605644226074,0.4351437985897064,-0.040108297020196915,0.49591076374053955,0.39844343066215515,-0.06317460536956787,0.48975643515586853,0.36732029914855957,-0.08064592629671097,0.5606990456581116,0.5107762813568115,-0.03328744322061539,0.57574462890625,0.46705740690231323,-0.05393616855144501,0.5791656970977783,0.43740248680114746,-0.06842269003391266,0.5795451402664185,0.41009512543678284,-0.07963965088129044
61,0.47257906198501587,0.6393266320228577,2.0079704654563102e-07,0.35244670510292053,0.6080008745193481,-0.04281637445092201,0.28605037927627563,0.5569894909858704,-0.058269619941711426,0.2586793303489685,0.5083250403404236,-0.07235397398471832,0.21774157881736755,0.4739460349082947,-0.08448148518800735,0.3692830204963684,0.4929892420768738,-0.005493238102644682,0.3535451889038086,0.4375743567943573,-0.028807256370782852,0.35058850049972534,0.4049263894557953,-0.05548882856965065,0.352436363697052,0.37497618794441223,-0.07821884751319885,0.43743669986724854,0.4860580861568451,-0.007614500820636749,0.42862939834594727,0.4248632788658142,-0.027302661910653114,0.4256097376346588,0.3858010768890381,-0.05211988836526871,0.4224530756473541,0.3519100546836853,-0.07282132655382156,0.49876469373703003,0.4930760860443115,-0.018393512815237045,0.49858278036117554,0.4349079132080078,-0.04134087264537811,0.4959698021411896,0.39823317527770996,-0.06421341747045517,0.49008432030677795,0.36723747849464417,-0.08159182965755463,0.5608143210411072,0.5108494162559509,-0.03460877388715744,0.5759546756744385,0.46727272868156433,-0.05549855902791023,0.5794331431388855,0.4375980496406555,-0.06999903172254562,0.5799012780189514,0.41028720140457153,-0.08124355971813202
